Segment,Category,Sub-Category,City,Order Date,Postal Code,Region,Ship Status,State,Profit,Sales,,
Corporate,Office Furniture,Computer Chairs,Philadelphia,22-Dec-19,19140,Eastern,On Schedule,Pennsylvania,19,162,,
Corporate,Office Furniture,Computer Chairs,Philadelphia,15-Dec-18,19140,Eastern,Early Delivery,Pennsylvania,-2,225,,
Corporate,Office Furniture,Computer Chairs,Philadelphia,8-May-21,19140,Eastern,Early Delivery,Pennsylvania,-21,595,,
Corporate,Office Furniture,Computer Chairs,Philadelphia,27-Nov-20,19140,Eastern,On Schedule,Pennsylvania,-10,162,,
Home Office,Office Furniture,Computer Chairs,Philadelphia,20-Nov-19,19140,Eastern,Early Delivery,Pennsylvania,29,225,,
Home Office,Office Furniture,Computer Chairs,Philadelphia,13-May-21,19140,Eastern,Early Delivery,Pennsylvania,12,226,,
Consumer,Office Furniture,Corner Desks,Philadelphia,17-Sep-19,19140,Eastern,Early Delivery,Pennsylvania,39,43,,
Corporate,Office Furniture,Corner Desks,Philadelphia,4-Sep-20,19140,Eastern,Early Delivery,Pennsylvania,13,14,,
Corporate,Office Furniture,Corner Desks,Philadelphia,3-Dec-19,19140,Eastern,Early Delivery,Pennsylvania,11,8,,
Home Office,Office Furniture,Corner Desks,Philadelphia,7-Oct-18,19140,Eastern,On Schedule,Pennsylvania,134,14,,
Consumer,Office Furniture,Corner Desks,Philadelphia,10-Dec-21,19140,Eastern,Late Delivery,Pennsylvania,2,4,,
Consumer,Office Furniture,Corner Desks,Philadelphia,14-Sep-21,19140,Eastern,On Schedule,Pennsylvania,-38,237,,
Consumer,Office Furniture,Corner Desks,Philadelphia,31-Jul-20,19140,Eastern,Early Delivery,Pennsylvania,1,312,,
Consumer,Office Furniture,Corner Desks,Philadelphia,18-Jan-21,19140,Eastern,Late Delivery,Pennsylvania,5,170,,
Consumer,Office Furniture,Corner Desks,Philadelphia,9-Sep-18,19140,Eastern,Late Delivery,Pennsylvania,3,122,,
Consumer,Office Furniture,Corner Desks,Philadelphia,13-Jul-21,19140,Eastern,Late Delivery,Pennsylvania,2,218,,
Consumer,Office Furniture,Corner Desks,Philadelphia,30-Oct-21,19140,Eastern,Early Delivery,Pennsylvania,4,194,,
Consumer,Office Furniture,Corner Desks,Philadelphia,14-Jul-18,19140,Eastern,Early Delivery,Pennsylvania,5,242,,
Consumer,Office Furniture,Corner Desks,Philadelphia,18-Nov-18,19140,Eastern,Early Delivery,Pennsylvania,22,185,,
Corporate,Office Furniture,Corner Desks,Philadelphia,22-Nov-20,19140,Eastern,On Schedule,Pennsylvania,31,572,,
Corporate,Office Furniture,Corner Desks,Philadelphia,22-Nov-20,19140,Eastern,On Schedule,Pennsylvania,84,170,,
Corporate,Office Furniture,Corner Desks,Philadelphia,26-Sep-18,19140,Eastern,Early Delivery,Pennsylvania,-8,572,,
Corporate,Office Furniture,Corner Desks,Philadelphia,2-Nov-21,19140,Eastern,Early Delivery,Pennsylvania,-4,122,,
Corporate,Office Furniture,Corner Desks,Philadelphia,25-Dec-19,19140,Eastern,Early Delivery,Pennsylvania,-2,451,,
Home Office,Office Furniture,Corner Desks,Philadelphia,18-Sep-20,19140,Eastern,Late Delivery,Pennsylvania,197,230,,
Home Office,Office Furniture,Corner Desks,Philadelphia,10-Mar-20,19140,Eastern,On Schedule,Pennsylvania,0,218,,
Home Office,Office Furniture,Corner Desks,Philadelphia,22-Apr-21,19140,Eastern,Early Delivery,Pennsylvania,11,663,,
Consumer,Office Supplies,Envelopes,Philadelphia,17-Sep-19,19140,Eastern,Early Delivery,Pennsylvania,32,674,,
Corporate,Office Supplies,Envelopes,Philadelphia,13-Apr-18,19140,Eastern,Late Delivery,Pennsylvania,8,230,,
Consumer,Office Supplies,Envelopes,Philadelphia,8-May-20,19140,Eastern,On Schedule,Pennsylvania,-5,586,,
Corporate,Office Supplies,Envelopes,Philadelphia,22-Nov-20,19140,Eastern,On Schedule,Pennsylvania,4,698,,
Corporate,Office Supplies,Envelopes,Philadelphia,7-Nov-19,19140,Eastern,Early Delivery,Pennsylvania,6,4,,
Corporate,Office Supplies,Envelopes,Philadelphia,2-Nov-21,19140,Eastern,Early Delivery,Pennsylvania,2,23,,
Corporate,Office Supplies,Envelopes,Philadelphia,31-Aug-20,19140,Eastern,Early Delivery,Pennsylvania,4,418,,
Corporate,Office Supplies,Envelopes,Philadelphia,27-Nov-20,19140,Eastern,On Schedule,Pennsylvania,22,569,,
Home Office,Office Supplies,Envelopes,Philadelphia,1-Nov-19,19140,Eastern,Late Delivery,Pennsylvania,10,171,,
Consumer,Office Supplies,Folders,Philadelphia,17-Sep-19,19140,Eastern,Early Delivery,Pennsylvania,27,629,,
Consumer,Office Supplies,Folders,Philadelphia,17-Sep-19,19140,Eastern,Early Delivery,Pennsylvania,12,365,,
Corporate,Office Supplies,Folders,Philadelphia,13-Apr-18,19140,Eastern,Late Delivery,Pennsylvania,504,903,,
Consumer,Office Supplies,Folders,Philadelphia,28-Jun-18,19140,Eastern,Early Delivery,Pennsylvania,125,269,,
Consumer,Office Supplies,Folders,Philadelphia,28-Jun-18,19140,Eastern,Early Delivery,Pennsylvania,129,711,,
Consumer,Office Supplies,Folders,Philadelphia,14-Sep-21,19140,Eastern,On Schedule,Pennsylvania,-2,333,,
Consumer,Office Supplies,Folders,Philadelphia,21-Sep-18,19140,Eastern,Late Delivery,Pennsylvania,46,626,,
Consumer,Office Supplies,Folders,Philadelphia,14-Sep-21,19140,Eastern,On Schedule,Pennsylvania,-10,253,,
Consumer,Office Supplies,Folders,Philadelphia,5-Dec-19,19140,Eastern,Late Delivery,Pennsylvania,-3,483,,
Consumer,Office Supplies,Folders,Philadelphia,18-Nov-18,19140,Eastern,Early Delivery,Pennsylvania,31,725,,
Consumer,Office Supplies,Folders,Philadelphia,8-Jan-21,19140,Eastern,Early Delivery,Pennsylvania,53,394,,
Consumer,Office Supplies,Folders,Philadelphia,18-Nov-18,19140,Eastern,Early Delivery,Pennsylvania,115,195,,
Consumer,Office Supplies,Folders,Philadelphia,2-Dec-21,19140,Eastern,Late Delivery,Pennsylvania,1,884,,
Consumer,Office Supplies,Folders,Philadelphia,1-Dec-21,19140,Eastern,Early Delivery,Pennsylvania,302,195,,
Consumer,Office Supplies,Folders,Philadelphia,2-Apr-20,19140,Eastern,Early Delivery,Pennsylvania,0,291,,
Corporate,Office Supplies,Folders,Philadelphia,27-Nov-20,19140,Eastern,On Schedule,Pennsylvania,24,123,,
Corporate,Office Supplies,Folders,Philadelphia,4-May-21,19140,Eastern,On Schedule,Pennsylvania,10,40,,
Corporate,Office Supplies,Folders,Philadelphia,4-May-21,19140,Eastern,On Schedule,Pennsylvania,14,121,,
Corporate,Office Supplies,Folders,Philadelphia,4-Sep-19,19140,Eastern,Early Delivery,Pennsylvania,336,12,,
Corporate,Office Supplies,Folders,Philadelphia,26-Sep-18,19140,Eastern,Early Delivery,Pennsylvania,3,486,,
Home Office,Office Supplies,Folders,Philadelphia,11-Mar-21,19140,Eastern,Early Delivery,Pennsylvania,23,574,,
Home Office,Office Supplies,Folders,Philadelphia,22-Jun-21,19140,Eastern,On Schedule,Pennsylvania,3,558,,
Home Office,Office Supplies,Folders,Philadelphia,22-Jun-21,19140,Eastern,On Schedule,Pennsylvania,4,308,,
Consumer,Office Supplies,Kitchen Appliances,Philadelphia,3-May-19,19140,Eastern,Early Delivery,Pennsylvania,-45,564,,
Consumer,Office Supplies,Kitchen Appliances,Philadelphia,3-May-19,19140,Eastern,Early Delivery,Pennsylvania,10,204,,
Corporate,Office Supplies,Kitchen Appliances,Philadelphia,2-Nov-21,19140,Eastern,Early Delivery,Pennsylvania,3,284,,
Corporate,Office Supplies,Kitchen Appliances,Philadelphia,26-Sep-18,19140,Eastern,Early Delivery,Pennsylvania,5,604,,
Corporate,Office Supplies,Label Maker Tape,Philadelphia,13-Oct-21,19140,Eastern,Early Delivery,Pennsylvania,83,1487,,
Corporate,Office Supplies,Label Maker Tape,Philadelphia,28-Sep-20,19140,Eastern,Late Delivery,Pennsylvania,122,976,,
Consumer,Office Supplies,Label Maker Tape,Philadelphia,9-Jun-20,19140,Eastern,Late Delivery,Pennsylvania,315,55,,
Consumer,Office Supplies,Label Maker Tape,Philadelphia,1-Dec-21,19140,Eastern,Early Delivery,Pennsylvania,1265,13,,
Corporate,Technology,Phone and Fax,Philadelphia,13-Apr-18,19140,Eastern,Late Delivery,Pennsylvania,3,1326,,
Consumer,Technology,Phone and Fax,Philadelphia,8-Dec-21,19140,Eastern,Late Delivery,Pennsylvania,49,485,,
Consumer,Technology,Phone and Fax,Philadelphia,9-Sep-18,19140,Eastern,Late Delivery,Pennsylvania,-4,2405,,
Consumer,Technology,Phone and Fax,Philadelphia,13-Jul-21,19140,Eastern,Late Delivery,Pennsylvania,-5,533,,
Consumer,Technology,Phone and Fax,Philadelphia,18-Jan-21,19140,Eastern,Late Delivery,Pennsylvania,1,365,,
Consumer,Technology,Phone and Fax,Philadelphia,14-Jul-18,19140,Eastern,Early Delivery,Pennsylvania,3,206,,
Consumer,Technology,Phone and Fax,Philadelphia,14-Jul-18,19140,Eastern,Early Delivery,Pennsylvania,4,2004,,
Consumer,Technology,Phone and Fax,Philadelphia,10-Mar-21,19140,Eastern,On Schedule,Pennsylvania,2,638,,
Consumer,Technology,Phone and Fax,Philadelphia,4-Apr-20,19140,Eastern,Early Delivery,Pennsylvania,5,121,,
Consumer,Technology,Phone and Fax,Philadelphia,18-Nov-18,19140,Eastern,Early Delivery,Pennsylvania,-1,52,,
Corporate,Technology,Phone and Fax,Philadelphia,31-Aug-20,19140,Eastern,Early Delivery,Pennsylvania,56,393,,
Corporate,Technology,Phone and Fax,Philadelphia,27-Nov-20,19140,Eastern,On Schedule,Pennsylvania,44,278,,
Corporate,Technology,Phone and Fax,Philadelphia,2-Nov-21,19140,Eastern,Early Delivery,Pennsylvania,45,802,,
Home Office,Technology,Phone and Fax,Philadelphia,11-Mar-21,19140,Eastern,Early Delivery,Pennsylvania,18,365,,
Home Office,Technology,Phone and Fax,Philadelphia,27-Nov-19,19140,Eastern,On Schedule,Pennsylvania,34,66,,
Corporate,Technology,Printers,Philadelphia,3-Dec-19,19140,Eastern,Early Delivery,Pennsylvania,18,181,,
Consumer,Technology,Printers,Philadelphia,14-Sep-21,19140,Eastern,On Schedule,Pennsylvania,10,70,,
Consumer,Technology,Printers,Philadelphia,14-Sep-21,19140,Eastern,On Schedule,Pennsylvania,8,218,,
Corporate,Office Supplies,Printing Paper,Philadelphia,13-Oct-21,19140,Eastern,Early Delivery,Pennsylvania,11,590,,
Corporate,Office Supplies,Printing Paper,Philadelphia,13-Oct-21,19140,Eastern,Early Delivery,Pennsylvania,13,102,,
Consumer,Office Supplies,Printing Paper,Philadelphia,14-Sep-20,19140,Eastern,Early Delivery,Pennsylvania,9,6,,
Consumer,Office Supplies,Printing Paper,Philadelphia,28-Jun-18,19140,Eastern,Early Delivery,Pennsylvania,23,4,,
Consumer,Office Supplies,Printing Paper,Philadelphia,28-Jun-18,19140,Eastern,Early Delivery,Pennsylvania,32,6,,
Consumer,Office Supplies,Printing Paper,Philadelphia,2-Sep-21,19140,Eastern,Early Delivery,Pennsylvania,7,23,,
Consumer,Office Supplies,Printing Paper,Philadelphia,10-Dec-21,19140,Eastern,Late Delivery,Pennsylvania,39,1794,,
Consumer,Office Supplies,Printing Paper,Philadelphia,26-Jul-19,19140,Eastern,On Schedule,Pennsylvania,50,326,,
Consumer,Office Supplies,Printing Paper,Philadelphia,9-Sep-18,19140,Eastern,Late Delivery,Pennsylvania,-3,10,,
Consumer,Office Supplies,Printing Paper,Philadelphia,18-Jan-21,19140,Eastern,Late Delivery,Pennsylvania,-2,12,,
Consumer,Office Supplies,Printing Paper,Philadelphia,26-Mar-19,19140,Eastern,Late Delivery,Pennsylvania,-2,12,,
Consumer,Office Supplies,Printing Paper,Philadelphia,3-May-19,19140,Eastern,Early Delivery,Pennsylvania,422,4,,
Consumer,Office Supplies,Printing Paper,Philadelphia,30-Oct-21,19140,Eastern,Early Delivery,Pennsylvania,59,1104,,
Corporate,Office Supplies,Printing Paper,Philadelphia,31-Aug-20,19140,Eastern,Early Delivery,Pennsylvania,15,162,,
Home Office,Office Supplies,Printing Paper,Philadelphia,17-Jul-20,19140,Eastern,Early Delivery,Pennsylvania,8,502,,
Corporate,Office Furniture,Standard Desks,Philadelphia,13-Jun-20,19140,Eastern,Late Delivery,Pennsylvania,-10,47,,
Home Office,Office Furniture,Standard Desks,Philadelphia,11-Mar-21,19140,Eastern,Early Delivery,Pennsylvania,19,28,,
Consumer,Office Supplies,Stationary Supplies,Philadelphia,4-Apr-20,19140,Eastern,Early Delivery,Pennsylvania,5,196,,
Corporate,Office Supplies,Storage and Archive,Philadelphia,13-Oct-21,19140,Eastern,Early Delivery,Pennsylvania,21,84,,
Consumer,Office Supplies,Storage and Archive,Philadelphia,18-Nov-18,19140,Eastern,Early Delivery,Pennsylvania,-6,6,,
Consumer,Office Supplies,Storage and Archive,Philadelphia,30-Oct-21,19140,Eastern,Early Delivery,Pennsylvania,16,5,,
Consumer,Office Supplies,Storage and Archive,Philadelphia,5-Jul-19,19140,Eastern,Early Delivery,Pennsylvania,4,11,,
Consumer,Office Supplies,Storage and Archive,Philadelphia,3-May-19,19140,Eastern,Early Delivery,Pennsylvania,34,9,,
Consumer,Office Supplies,Storage and Archive,Philadelphia,10-Nov-19,19140,Eastern,Early Delivery,Pennsylvania,60,45,,
Corporate,Office Supplies,Storage and Archive,Philadelphia,22-Dec-19,19140,Eastern,On Schedule,Pennsylvania,-13,38,,
Corporate,Office Supplies,Storage and Archive,Philadelphia,27-Nov-20,19140,Eastern,On Schedule,Pennsylvania,4,5,,
Corporate,Office Supplies,Storage and Archive,Philadelphia,15-May-19,19140,Eastern,Late Delivery,Pennsylvania,6,77,,
Corporate,Office Supplies,Storage and Archive,Philadelphia,11-May-20,19140,Eastern,Early Delivery,Pennsylvania,6,10,,
Corporate,Office Supplies,Storage and Archive,Philadelphia,28-Jul-20,19140,Eastern,Early Delivery,Pennsylvania,38,77,,
Home Office,Office Supplies,Storage and Archive,Philadelphia,11-Mar-21,19140,Eastern,Early Delivery,Pennsylvania,7,10,,
Home Office,Office Supplies,Storage and Archive,Philadelphia,22-Jun-21,19140,Eastern,On Schedule,Pennsylvania,181,48,,
Home Office,Office Supplies,Storage and Archive,Philadelphia,17-Jul-20,19140,Eastern,Early Delivery,Pennsylvania,5,118,,
Consumer,Office Furniture,Storage Cabinets,Philadelphia,17-Sep-19,19140,Eastern,Early Delivery,Pennsylvania,45,264,,
Consumer,Office Furniture,Storage Cabinets,Philadelphia,25-Aug-21,19140,Eastern,Early Delivery,Pennsylvania,7,18,,
Corporate,Office Furniture,Storage Cabinets,Philadelphia,14-Jan-18,19140,Eastern,On Schedule,Pennsylvania,6,7,,
Corporate,Office Supplies,Artwork and Statues,Philadelphia,28-Dec-18,19143,Eastern,Late Delivery,Pennsylvania,46,8,,
Consumer,Office Supplies,Artwork and Statues,Philadelphia,5-Jan-18,19143,Eastern,Late Delivery,Pennsylvania,6,11,,
Corporate,Office Supplies,Artwork and Statues,Philadelphia,4-Jan-20,19143,Eastern,Early Delivery,Pennsylvania,3,63,,
Corporate,Office Supplies,Artwork and Statues,Philadelphia,9-Dec-21,19143,Eastern,On Schedule,Pennsylvania,6,48,,
Corporate,Office Supplies,Artwork and Statues,Philadelphia,28-Apr-21,19143,Eastern,Early Delivery,Pennsylvania,5,48,,
Home Office,Office Supplies,Artwork and Statues,Philadelphia,7-Jun-19,19143,Eastern,Early Delivery,Pennsylvania,30,133,,
Consumer,Technology,Cables and Connectors,Philadelphia,13-Sep-18,19143,Eastern,Late Delivery,Pennsylvania,0,5,,
Consumer,Technology,Cables and Connectors,Philadelphia,16-Sep-21,19143,Eastern,Late Delivery,Pennsylvania,116,16,,
Consumer,Technology,Cables and Connectors,Philadelphia,16-Sep-21,19143,Eastern,Late Delivery,Pennsylvania,24,15,,
Consumer,Technology,Cables and Connectors,Philadelphia,22-Sep-19,19143,Eastern,Late Delivery,Pennsylvania,13,46,,
Consumer,Technology,Cables and Connectors,Philadelphia,9-Mar-20,19143,Eastern,Early Delivery,Pennsylvania,0,13,,
Consumer,Technology,Cables and Connectors,Philadelphia,5-Nov-18,19143,Eastern,Early Delivery,Pennsylvania,4,12,,
Consumer,Technology,Cables and Connectors,Philadelphia,23-Jun-18,19143,Eastern,Early Delivery,Pennsylvania,1,382,,
Consumer,Technology,Cables and Connectors,Philadelphia,5-Nov-18,19143,Eastern,Early Delivery,Pennsylvania,5,5,,
Home Office,Technology,Cables and Connectors,Philadelphia,6-Apr-18,19143,Eastern,Late Delivery,Pennsylvania,3,186,,
Home Office,Technology,Cables and Connectors,Philadelphia,14-Nov-19,19143,Eastern,On Schedule,Pennsylvania,5,31,,
Home Office,Technology,Cables and Connectors,Philadelphia,14-Mar-20,19143,Eastern,Early Delivery,Pennsylvania,2,146,,
Consumer,Office Furniture,Computer Chairs,Philadelphia,29-Aug-20,19143,Eastern,Late Delivery,Pennsylvania,17,173,,
Consumer,Office Furniture,Computer Chairs,Philadelphia,6-Nov-21,19143,Eastern,Early Delivery,Pennsylvania,6,36,,
Consumer,Office Furniture,Computer Chairs,Philadelphia,30-Oct-20,19143,Eastern,On Schedule,Pennsylvania,4,31,,
Consumer,Office Furniture,Computer Chairs,Philadelphia,17-Nov-18,19143,Eastern,Late Delivery,Pennsylvania,8,84,,
Corporate,Office Furniture,Computer Chairs,Philadelphia,4-Dec-21,19143,Eastern,On Schedule,Pennsylvania,13,2,,
Consumer,Office Furniture,Corner Desks,Philadelphia,3-Apr-21,19143,Eastern,Early Delivery,Pennsylvania,1,3,,
Consumer,Office Furniture,Corner Desks,Philadelphia,16-Sep-21,19143,Eastern,Late Delivery,Pennsylvania,3,4,,
Consumer,Office Furniture,Corner Desks,Philadelphia,10-Dec-21,19143,Eastern,Late Delivery,Pennsylvania,4,2,,
Consumer,Office Furniture,Corner Desks,Philadelphia,25-Jul-21,19143,Eastern,On Schedule,Pennsylvania,1,5,,
Consumer,Office Furniture,Corner Desks,Philadelphia,5-Nov-18,19143,Eastern,Early Delivery,Pennsylvania,7,7,,
Consumer,Office Furniture,Corner Desks,Philadelphia,10-Apr-21,19143,Eastern,Early Delivery,Pennsylvania,21,1,,
Corporate,Office Furniture,Corner Desks,Philadelphia,8-Oct-20,19143,Eastern,Early Delivery,Pennsylvania,19,21,,
Home Office,Office Furniture,Corner Desks,Philadelphia,5-Apr-19,19143,Eastern,Early Delivery,Pennsylvania,16,15,,
Home Office,Office Furniture,Corner Desks,Philadelphia,5-Apr-19,19143,Eastern,Early Delivery,Pennsylvania,21,2,,
Corporate,Office Supplies,Envelopes,Philadelphia,16-Apr-19,19143,Eastern,Early Delivery,Pennsylvania,5,1,,
Home Office,Office Supplies,Envelopes,Philadelphia,23-Nov-20,19143,Eastern,Late Delivery,Pennsylvania,1,16,,
Home Office,Office Supplies,Envelopes,Philadelphia,1-Dec-21,19143,Eastern,Early Delivery,Pennsylvania,1,3,,
Consumer,Office Supplies,Folders,Philadelphia,29-Aug-20,19143,Eastern,Late Delivery,Pennsylvania,85,4,,
Home Office,Office Supplies,Folders,Philadelphia,2-Sep-20,19143,Eastern,Late Delivery,Pennsylvania,407,97,,
Consumer,Office Supplies,Folders,Philadelphia,10-Dec-21,19143,Eastern,Late Delivery,Pennsylvania,-2,9,,
Consumer,Office Supplies,Folders,Philadelphia,16-Sep-21,19143,Eastern,Late Delivery,Pennsylvania,5,33,,
Consumer,Office Supplies,Folders,Philadelphia,16-Sep-21,19143,Eastern,Late Delivery,Pennsylvania,83,10,,
Consumer,Office Supplies,Folders,Philadelphia,25-Sep-19,19143,Eastern,On Schedule,Pennsylvania,-2,4,,
Consumer,Office Supplies,Folders,Philadelphia,26-Sep-19,19143,Eastern,On Schedule,Pennsylvania,-8,17,,
Consumer,Office Supplies,Folders,Philadelphia,21-Sep-21,19143,Eastern,Early Delivery,Pennsylvania,8,1525,,
Consumer,Office Supplies,Folders,Philadelphia,5-Nov-18,19143,Eastern,Early Delivery,Pennsylvania,17,34,,
Consumer,Office Supplies,Folders,Philadelphia,3-Nov-21,19143,Eastern,Early Delivery,Pennsylvania,9,31,,
Corporate,Office Supplies,Folders,Philadelphia,24-Apr-21,19143,Eastern,Late Delivery,Pennsylvania,3,13,,
Corporate,Office Supplies,Folders,Philadelphia,24-Apr-21,19143,Eastern,Late Delivery,Pennsylvania,23,31,,
Corporate,Office Supplies,Folders,Philadelphia,21-May-19,19143,Eastern,Late Delivery,Pennsylvania,8,20,,
Corporate,Office Supplies,Folders,Philadelphia,30-Apr-21,19143,Eastern,On Schedule,Pennsylvania,5,316,,
Corporate,Office Supplies,Folders,Philadelphia,15-Sep-19,19143,Eastern,Early Delivery,Pennsylvania,12,5,,
Corporate,Office Supplies,Folders,Philadelphia,4-Jan-20,19143,Eastern,Early Delivery,Pennsylvania,103,6,,
Home Office,Office Supplies,Folders,Philadelphia,7-Jun-19,19143,Eastern,Early Delivery,Pennsylvania,88,11,,
Home Office,Office Supplies,Folders,Philadelphia,25-Jul-19,19143,Eastern,Early Delivery,Pennsylvania,16,465,,
Home Office,Office Supplies,Folders,Philadelphia,5-Apr-19,19143,Eastern,Early Delivery,Pennsylvania,15,160,,
Consumer,Office Supplies,Kitchen Appliances,Philadelphia,19-Dec-19,19143,Eastern,On Schedule,Pennsylvania,27,13,,
Consumer,Office Supplies,Kitchen Appliances,Philadelphia,19-Dec-19,19143,Eastern,On Schedule,Pennsylvania,3,31,,
Consumer,Office Supplies,Kitchen Appliances,Philadelphia,19-Dec-19,19143,Eastern,On Schedule,Pennsylvania,-35,25,,
Consumer,Office Supplies,Kitchen Appliances,Philadelphia,10-Apr-21,19143,Eastern,Early Delivery,Pennsylvania,9,6,,
Corporate,Office Supplies,Kitchen Appliances,Philadelphia,24-Apr-21,19143,Eastern,Late Delivery,Pennsylvania,-10,15,,
Home Office,Office Supplies,Kitchen Appliances,Philadelphia,5-Apr-19,19143,Eastern,Early Delivery,Pennsylvania,6,10,,
Consumer,Office Supplies,Label Maker Tape,Philadelphia,29-Aug-20,19143,Eastern,Late Delivery,Pennsylvania,12,25,,
Consumer,Office Supplies,Label Maker Tape,Philadelphia,29-Nov-18,19143,Eastern,Late Delivery,Pennsylvania,1,12,,
Home Office,Office Supplies,Label Maker Tape,Philadelphia,6-Oct-20,19143,Eastern,Late Delivery,Pennsylvania,25,13,,
Home Office,Office Supplies,Label Maker Tape,Philadelphia,21-Sep-18,19143,Eastern,Late Delivery,Pennsylvania,80,40,,
Consumer,Technology,Phone and Fax,Philadelphia,29-Aug-20,19143,Eastern,Late Delivery,Pennsylvania,29,194,,
Corporate,Technology,Phone and Fax,Philadelphia,10-Sep-20,19143,Eastern,Early Delivery,Pennsylvania,98,42,,
Home Office,Technology,Phone and Fax,Philadelphia,2-Sep-20,19143,Eastern,Late Delivery,Pennsylvania,2,23,,
Consumer,Technology,Phone and Fax,Philadelphia,26-Sep-19,19143,Eastern,On Schedule,Pennsylvania,18,70,,
Consumer,Technology,Phone and Fax,Philadelphia,21-Oct-21,19143,Eastern,Late Delivery,Pennsylvania,23,4,,
Consumer,Technology,Phone and Fax,Philadelphia,26-Jun-21,19143,Eastern,Late Delivery,Pennsylvania,4,171,,
Consumer,Technology,Phone and Fax,Philadelphia,26-Jun-21,19143,Eastern,Late Delivery,Pennsylvania,11,60,,
Corporate,Technology,Phone and Fax,Philadelphia,30-Dec-18,19143,Eastern,Late Delivery,Pennsylvania,49,206,,
Corporate,Technology,Phone and Fax,Philadelphia,30-Apr-21,19143,Eastern,On Schedule,Pennsylvania,26,10,,
Home Office,Technology,Phone and Fax,Philadelphia,5-Apr-19,19143,Eastern,Early Delivery,Pennsylvania,3,8,,
Home Office,Technology,Phone and Fax,Philadelphia,22-Dec-20,19143,Eastern,Early Delivery,Pennsylvania,34,51,,
Home Office,Technology,Phone and Fax,Philadelphia,5-Apr-19,19143,Eastern,Early Delivery,Pennsylvania,5,35,,
Home Office,Technology,Phone and Fax,Philadelphia,1-Dec-21,19143,Eastern,Early Delivery,Pennsylvania,8,21,,
Corporate,Technology,Printers,Philadelphia,9-Jul-20,19143,Eastern,On Schedule,Pennsylvania,18,69,,
Corporate,Office Supplies,Printing Paper,Philadelphia,10-Sep-20,19143,Eastern,Early Delivery,Pennsylvania,102,63,,
Consumer,Office Supplies,Printing Paper,Philadelphia,13-Sep-18,19143,Eastern,Late Delivery,Pennsylvania,1,35,,
Consumer,Office Supplies,Printing Paper,Philadelphia,21-Nov-21,19143,Eastern,Late Delivery,Pennsylvania,9,11,,
Consumer,Office Supplies,Printing Paper,Philadelphia,10-Jun-21,19143,Eastern,On Schedule,Pennsylvania,78,6,,
Consumer,Office Supplies,Printing Paper,Philadelphia,25-Jul-21,19143,Eastern,On Schedule,Pennsylvania,-5,9,,
Consumer,Office Supplies,Printing Paper,Philadelphia,16-Sep-21,19143,Eastern,Early Delivery,Pennsylvania,-2,18,,
Consumer,Office Supplies,Printing Paper,Philadelphia,17-Nov-18,19143,Eastern,Late Delivery,Pennsylvania,3,15,,
Consumer,Office Supplies,Printing Paper,Philadelphia,6-Nov-21,19143,Eastern,Early Delivery,Pennsylvania,290,144,,
Corporate,Office Supplies,Printing Paper,Philadelphia,2-Jul-20,19143,Eastern,On Schedule,Pennsylvania,11,20,,
Corporate,Office Supplies,Printing Paper,Philadelphia,8-Oct-20,19143,Eastern,Early Delivery,Pennsylvania,6,40,,
Home Office,Office Supplies,Printing Paper,Philadelphia,21-Sep-18,19143,Eastern,Late Delivery,Pennsylvania,107,183,,
Home Office,Office Supplies,Printing Paper,Philadelphia,22-Dec-20,19143,Eastern,Early Delivery,Pennsylvania,21,117,,
Home Office,Office Supplies,Printing Paper,Philadelphia,16-Sep-21,19143,Eastern,Early Delivery,Pennsylvania,1,82,,
Home Office,Office Supplies,Printing Paper,Philadelphia,7-Jun-19,19143,Eastern,Early Delivery,Pennsylvania,14,52,,
Home Office,Office Supplies,Printing Paper,Philadelphia,25-Jun-19,19143,Eastern,On Schedule,Pennsylvania,1,15,,
Home Office,Office Supplies,Printing Paper,Philadelphia,12-Nov-20,19143,Eastern,Early Delivery,Pennsylvania,5,59,,
Consumer,Office Furniture,Standard Desks,Philadelphia,25-Jul-21,19143,Eastern,On Schedule,Pennsylvania,17,27,,
Consumer,Office Furniture,Standard Desks,Philadelphia,16-Aug-18,19143,Eastern,Early Delivery,Pennsylvania,11,23,,
Corporate,Office Furniture,Standard Desks,Philadelphia,30-Dec-18,19143,Eastern,Late Delivery,Pennsylvania,-52,26,,
Home Office,Office Furniture,Standard Desks,Philadelphia,22-Aug-21,19143,Eastern,Late Delivery,Pennsylvania,7,41,,
Home Office,Office Furniture,Standard Desks,Philadelphia,6-Apr-18,19143,Eastern,Late Delivery,Pennsylvania,9,26,,
Home Office,Office Furniture,Standard Desks,Philadelphia,20-Aug-20,19143,Eastern,Early Delivery,Pennsylvania,70,905,,
Consumer,Office Supplies,Stationary Supplies,Philadelphia,22-Sep-19,19143,Eastern,Late Delivery,Pennsylvania,8,21,,
Consumer,Office Supplies,Stationary Supplies,Philadelphia,25-Jul-21,19143,Eastern,On Schedule,Pennsylvania,-2,58,,
Home Office,Office Supplies,Stationary Supplies,Philadelphia,6-Apr-18,19143,Eastern,Late Delivery,Pennsylvania,63,80,,
Consumer,Office Supplies,Storage and Archive,Philadelphia,29-Aug-20,19143,Eastern,Late Delivery,Pennsylvania,137,40,,
Consumer,Office Supplies,Storage and Archive,Philadelphia,13-Aug-19,19143,Eastern,Late Delivery,Pennsylvania,10,95,,
